Nom et nature,Conditionnement,PPV
"CACIT 1000Mg, Comprimé",Boîte de 10,36
"PENISTAPH 250 MG / 5 ML, Poudre pour solution buvable",Flacon de 100 ml,54
COLTRAX 4 mg Solution injectable,Boîte de 6 Ampoules de 2 ml,51
"LOSACAR 50/12,5 mg, Comprimé enrobé",Boîte de 14,40
"DEPAKINE CHRONO 500 MG, Comprimé pelliculé",Boîte de 30,113.3
"ZELIP 10 MG, Comprimé",Boite de 28,256
"DAONIL 5 mg , Comprimé",Boîte de 20,25.2
"EVITOP 60 MG, Comprimé pelliculé",Boite unitaire,44.4
"NORMOGASTRYL , Comprimé effervescent",Boîte de 1 tube de 20,12
"NICOPASS SANS SUCRE REGLISSE MENTHE 1,5 MG, Pastille",7 sachets contenant un dispositif dermique,47.1
"HÉMO-PUR A1, Soluté pour hémodialyse",Bidon de 5 litres,71.7
"VEZAR 300 MG, Comprimé",Boite de 30,150.2
"FLOXAPEN 500 MG, Gélule",Boîte de 24,126.5
CISPLATINE EBEWE 100 mg/100 ml Solution pour perfusion,Flacon de 100 ml,253
"FLUOXET 20 mg , Gélule",Boite de 60,297
PREDSONE 20 mg Comprimé,Boîte de 20,
"BLINDAM 1 G / 125 MG, Sachet",Boîte de 24,
"SULFAGUANIDINE PROMOPHARM 500 mg, Comprimé",Boîte de 1000,
"OEDES 40 MG, Lyophilisat pour usage parentéral",Boîte de 5+5,376
"PROLIFEN 50 mg, Gélule",Boîte de 10,73.4
"LIRAPYN 75 MG, Gélule",Flacon de 30,141.6
"CORANGIN 40 mg, Comprimé pelliculé sécable LP",Boîte de 30,107.9
"OEDES 10 MG, Gélule",boite de 7,12.4
"ULTRA-LEVURE 250 MG, Sachet",Boîte de 10,38.1
"INEXIUM GR 20 MG, Comprimé",Boîte 14,92.6
"DUPHALAC 0,665, Solution buvable",Boîte de 1 Flacon de 200 ml,45.4
"CO-AMAREL 2mg/500mg, Comprimé pelliculé",Boîte de 30,125
"PRAXILENE 200 MG, Comprimé pelliculé",Boîte de 20,69
"CO ACARD 50 MG, Comprimé pelliculé",Boite de 28,108.3
"KETUM 2,5 %, Gel pour application locale",Tube doseur de 120 G (120 doses),100
"ANCINE PLUS 100 MG / 25 MG, Comprimé pelliculé",Boite de 15,59.9
"HOLISTICAP, Capsule",Boite de 60,274
"COARSUCAM 25 mg/67,5 mg , Comprimé bicouche",Boîte de 3,
"ENCORATE 500 MG, Comprimé",Boîte de 40,70
"FORTZAAR 100 mg/25 mg, Comprimé pelliculé",28 comprimés,234
"ORVASC 10 MG, Comprimé orodispérsible",Boite de 10,31
"BETNEVAL 0,1 %, Pommade",Tube de 10 g,12
"APTAMIL HA 2EME, Lait",Boite de 400G,82
"LORACTYNE, Sirop",Flacon de 60 ml,33
"YPEVA 400 MG ( 25 MG / ML ), Solution à diluer pour perfusion IV",Boite d'un flacon de 16 ML,9511
"BETASTENE 0,05 % , Solution buvable",Flacon de 30 ml,30
"ANZATAX 30 MG / 5 ML, Solution à diluer pour perfusion",Flacon de 30 mg / 5 ml,619
"IPRATROPIUM AGUETTANT ADULTES 0,5mg/2ml Solution pour inhalation",Boite de 10 récipient unidose de 2ml,
OKA-CARBOPLATIN 150 mg/15ml Solution pour perfusion IV,Boîte de 1 Flacon de 15 ml,572
"PENISTAPH 125 MG / 5 ML, Poudre pour solution buvable",Flacon de 100 ml,26.6
"FORTMAG 300 MG, Comprimé effervescent sans sucre",Boite de 20 goût pamplemousse,86
"PERIOLIMEL N4E, Émulsion pour perfusion",Poche de 2000 ML,921
"CARVEDILOL GT 25 mg , Comprimé sécable",Boîte de 30,95
MIOCAMEN 6 g Granulé pour suspension orale,Flacon de 30 g (120ml),114.2
"STEDIRIL 0,5 mg/0,05 mg , Comprimé enrobé",Boîte de 63,26.9
"SEREVENT AÉROSOL HFA 134 A, Suspension pour inhalation en Flacon pressurisé 25 mcg / dose",Flacon de 120 doses,520
"ALGIXENE 500 MG, Suppositoire",Boîte de 12,40.8
"EVOX 500 MG, Comprimé pelliculé",Boite de 7,100.1
"NEOMOX 250 MG/5 ML, Poudre pour solution buvable",Flacon de 100 ml,33.6
"ALFATIL 500 MG , Gélule",Boîte de 12,150
"BUCOPEN 0.4 MUI, Poudre pour suspension buvable",Flacon de 50 G,19.4
"CIBACENE 10 mg, Comprimé Pelliculé",Boîte de 28,230
"FRAGMIN 5000 UI 0,2 ML, Soluté Injectable",Boite de 10 seringues pré-remplies,472
"SUTENT 50 MG, Gélule",Boîte de 30,38480
"ASCAL 1000, Sachet",Boîte de 20,38
"IMBRUVICA 140 MG, Gélule",Boite de 90,67387
"CAPECITABINE ACCORD 500 MG, Comprimé pelliculé",Boite de 120,1947
"DEFLAZACORTE GT 6 MG, Comprimé",Boite de 60,132.9
"CERTICAN 0.25 MG, Comprimé",Boite de 60,1369
"ARATEN 100 MG, Comprimé pelliculé",Boite 30,160.9
"IPPSIUM 40 MG, Gélule gastro résistante",Boite de 7,67.2
"OXALIPLATINE MYLAN 5 MG / ML, Poudre pour perfusion",Flacon de 50 ML (/100 mg),2206
"OROSTIM, Sirop",Flacon de 125 ml,75
"PURCARB, Gélule",Boite de 30,73
"YOFOLVIT 200 µG / 400 µG / 2µG, Comprimé",Boite de 28,71
"PIROCAM SOTHEMA 20 MG, Suppositoire",Boite de 10 suppositoires,31.5
"LIRAPYN 25 MG, Gélule",Flacon de 90,213
"OROKEN 40 MG / 5 ML, Granulé pour suspension buvable",Flacon de 40 ml,70.6
"GONAL-F 450 UI/0,75 ml",Boîte 1 stylo et 7 aiguilles,1438
"TEGUMA 1 %, Solution pour pulvérisation cutanée",Flacon de 30 ml,70
"DIPROLENE 0,05% Pommade",Tube de 15 g,23.9
"DEFLAZACORTE GT 30 MG, Comprimé",Boite de 20,174.4
"CO-VARTEX 160 MG / 12.5 MG, comprimé pelliculé",Boite de 14,74.1
"NAVELBINE 30 MG , Capsule molle",Boîte de 1,1028
"ALFAPROXINE 500 MG, Comprimé pelliculé",Boîte de 10,112.1
"MAXI G, Comprimé effervescent sans sucre",Boite de 20 goût grapefruit,76.5
"REBETOL 200 MG, Gélule",Boîte de 140,3727
"INSULET N 100 UI/ml , Suspension injectable",SUSPENSION INJECTABLE INTERMEDIAIRE,54.1
"S-CORT 20 MG, Comprimé",Boite de 20 comprimés dosés à 20 mg,34.7
VOXCIB 200 mg Gélule,Boîte de 10,82
"BREXIN 20 MG, Comprimé effervescent",Boîte de 10,59.3
NALBUPHINE AGUETTANT 20mg/2ml soluté injectable,Boîte de 10 ampoules,
"ALCOR 10 MG, Comprimé",Boite de 60,145.9
"CATALGINE NORMALE 0.50 G, Sachet",Boîte de 20,22
"CYCLO 3 FORT, Solution buvable",Boîte de 30,81.1
"ACIDE ALENDRONIQUE GT 70 MG, Comprimé pelliculé",Boîte de 4,176
"PERINDOPRIL GT 4 MG, Comprimé sécable",Boite de 30,90
"DIAMICRON 30 MG LM , Comprimé",Boîte de 30,54.3
"PRAVATOR 20 MG, Comprimé",Boîte de 30,99.1
"REDLIP 40 MG, Comprimé pelliculé",Boîte de 30,138
"INIKAL 5 MG, Comprimé",Boîte de 30,43
"STEROGYL 15 H 600,000 UI , Solution huileuse buvable et injectable","Boîte de 1 Ampoule de 1,5 ml",13
"MOBIC 7,5 Suppositoire",Boîte de 12,75.5
GASTROGEL Comprimé,Boîte de 40,15.3
"XARELTO 20 MG, Comprimé pelliculé",Boite de 14,529
"ALBUMINATIV 200 G / L, Solution pour perfusion",Flacon de 50 ml,
"PROFLOX 250 MG, Comprimé",Boîte de 10 comprimés enrobés,51.4
"ALORA 5 MG, Comprimé pelliculé",Boite de 20,51.9
"ALYVIR RANBAXY 500 MG, Comprimé",Boite de 10,119.4
"OEDES 20 MG, Gélule",Boîte de 7,30
"ALCOR 10 MG, Comprimé",Boite de 30,76
"MEZOR 20 MG, Gélule",Boite de 14,86.9
"OMEPRAZOLE NORMON 40 MG, Lyophilisat pour perfusion IV",Boite 50 flacons,1554
"LIRAPYN 25 MG, Gélule",Flacon de 30,72.9
"EPIDUO, Gel",PPV: 146.60 dhs,
"VOZIN 5 MG, Suppositoire",Boite de 10,11.3
"ACTI 5, Solution buvable",Boîte de 30,63
"TAREG 160 mg, Comprimé pelliculé",Boîte de 28,224
"XENID 75 MG / 3 ML, Injectable",2 Ampoules,15.9
"MUCOLATOR 200 mg , Poudre pour Solution buvable",Boîte de 30 Sachets,43.85
"FERO-GRAD VIT C 105 / 500 MG, Comprimé enrobé",Boite de 30,41.5
"BLINDAM ENFANT 100 MG / 12.5 MG, Poudre pour suspension buvable",Flacon de 60ml,
"CLAVAM 500 MG / 125 MG, Sachet",Boîte de 12,117.3
"LEVOTHYROX 50µg, Comprimé sécable",Boîte de 30,13.4
COLTRAX 4 mg Comprimé,Boîte de 12,49.9
"CEPAVIR 400 MG, Comprimé pelliculé",Boite de 168,2499
"GEMSOL 1000 MG / 25 ML, Solution à diluer",Un flacon,632
"SPECTRUM G 500 MG, Comprimé pelliculé",Boîte de 2,40
"SWISSLAC PREMIUM AR1, Lait",Boite de 400G,75
"TIBERAL 500 MG, Comprimé pelliculé",Boîte de 10,48.5
"MENOPUR 75 UI + 75 UI , Poudre + Solvant",Boîte de 5 Flacons,1266
"OZEN 10 MG, Comprimé",Boite de 14,44
"DOLIPRANE 300 MG, Sachet",Boîte de 12,12.8
VENLAX XR COOPER 150 mg Gélule à libération prolongée,Boîte de 10,
"IRVEL 150 MG, Comprimé pelliculé",Boite de 14,64
"NUPENTIN 400 MG, Gélule",Boîte de 90,337
"MEXINE 500 MG, Comprimé",Boîte de 16,113.1
"DIGREL 75 MG, Comprimé pelliculé",Boite de 14,110.5
"CLOFENE 75 MG, Soluté injectable",Boîte de 3 ampoules de 3 ml,35
"CALCIUM SANDOZ 90 MG, Sirop",Flacon de 200 ml,28.9
PERVITAL Sirop,Flacon de 125 ml,24.7
"TYGACIL 50 MG, Poudre pour perfusion",10 flacons de 5 ML,5196
"DELTAZINE ADRÉNALINÉE AU 1/200.000 68 mg/0,0085 mg Solution injectable","Boîte de 50 cartouches de 1,7 ml",
"IBS, Capsule",Boite de 15,163.75
"ARGO, Suspension buvable",Flacon de 250 ml,30.5
"JOSACINE 500mg/5ML, Poudre pour suspension buvable,",Flacon de 60ml,127.6
"UROXINE 200 MG, Comprimé",Boîte de 2,42.8
"VOLTARENE 50 MG, Comprimé Pelliculé",Boîte de 30,66.8
"CETAMYL 250 MG, Sachet",Boîte de 12,12.7
"ATENSIL 80 MG, Comprimé enrobé",Boite de 14,75.6
FLURIM 250MBq Solution injectable,Flacon de 15 ml,4303
"FER UCB 50 MG, Solution buvable",12 ampoules de 5ml,32.2
"TAMOXIFENE GT 20 MG, Comprimé",Boîte de 30,124.3
"TAMIFLU 75 MG, Gélule",Boîte de 10,322
"DICLOFENAC WIN 1%, GEL",Tube de 50 grammes,37.5
"GALVUS MET 50 MG / 850 MG, Comprimé",Boite de 60 comprimés,392
"NEOMOX 500 MG, Comprimé dispersible",Boîte de 24,65.4
"SPIRALIDE 1,5 MUI, Comprimé pelliculé",Boîte de 16,55.3
"ADOSINE DR 400 MG, Gélule à libération prolongée",Boite de 30,553
"NEOCLAV 1 G / 125 MG, Sachet",Boite de 14 sachets,102
"FLOTEC 125uG, SUSPENSION POUR INHALATION BUCCALE",Flacon de 120 doses,130
"EPIGAB 150 MG, Gelule",Boite de 30,200
"BONFIX 150 MG, Comprimé",Boite unitaire,99.4
"LIRAPYN 75 MG, Gélule",Flacon de 180,762
"GELUPRANE 500 MG, Gélule",Boîte de 16,16.6
"MAXI 20, Comprimé effervescent sans sucre",Boite de 20,77.4
"ETOPOSIDE COOPER 50 MG, Capsule",Boîte de 10,
"ALOXIA 15 MG, Comprimé sécable",Boite de 20,87.4
"DIFFERINE 0,001 , Gel",Tube de 30g,66
"CO-ANDOL 500 MG / 30 MG, Comprimé effervescent",Boite de 8,14
CHLORURE POTASSIUM 10% PROMOPHARM 10 ml,Boîte de 10 ampoules,26.7
EAU P.P.I.10 ml,Boîte de 10,26.7
"CARTEOL 2% , Collyre",Flacon de 3 ml,84.9
"BONDRONAT 6 MG / 6 ML, Concentré de solution pour perfusion",Boîte de 1 ampoule de 6 ml,2718
"RÉMOX 20 MG, Suppositoire",Boîte de 12,44.9
"IRBESAR SUN 150MG, COMPRIMÉ",Boite de 14,64.8
"PROZAC 20 MG, Comprimé dispersible",Boîte de14,80.7
"PARANTAL 80 MG, Sachet",Boîte de 16,15.2
"EFFEXOR LP 75 mg , Gélule à libération prolongée",Boîte de 30,213
"FINASTERIDE GT 5 MG, Comprimé pelliculé",Boîte de 30,190
"NOVOEIGHT 250 UI, Poudre et solvant pour solution injectable","Boite d'un flacon de poudre lyophilisée, une seringue pré-remplie de 4 ML de solvant, un adaptateur pour flacon et une tige de piston",2244
"COSENTYX 150 MG, Solution injectable en stylo prérempli",Pack de 2,12430
"FLUPEN 250mg / 5 ML, POUDRE POUR SUSPENSION ORALE",Flacon de 60 ml,34
"INFERON alpha-2a 3 MUI, Poudre injectable",Boîte de 1 Flacon,269
"DIFENAC 50 MG, Comprimé",Boîte de 30,48.2
"NEURONTIN 300 MG, Gélule",Boîte de 90,308
"LEPONEX 25 MG, Comprimé sécable",Boîte de 28,65.7
"LAROXYL 50 mg, Comprimé enrobé",Boîte de 20,38.3
"FLUOMIZIN, Comprimé vaginal",Boite de 6 comprimes vaginaux,96.4
"SYNFLORIX, Suspension injectable en flacon","Boîte de 100 flacons de 0,5ml",
"STAPHYPEN 500 mg, Injectable",Boîte de 1,13.1
PARANTAL 125 mg Suppositoire,Boîte de 10,11.1
"RETISOLNAA 0,1% Crème",Tube de 25g,109.1
"ISOPRINOSINE 0,05 , Sirop",Boîte de 1 Flacon de 80 ml,57.8
"SOLIAN 100 MG, Comprimé",Boîte de 20,139.6
"S-PERAM 20 MG, Comprimé pelliculé",Boite de 30,193
"DIFAL 100 MG, Suppositoire",Boîte de 10,32.4
"FLUCON 0,001 , Collyre",Flacon de 3ml,22.6
"BRONXOL 0,3%, Sirop",Flacon 150 ml,26.8
"LAEVOLAC 0,5, Sachet",Boîte de 20,70
"OFIKEN 100 MG, Poudre pour suspension buvable - Nourisson",Flacon de 30 ml,53.7
"SODRIX LP 1.5 MG, Comprimé",Boite de 30,34.2
"TRISULFA ADULTE 400 / 80 MG, Comprimé",Boîte de 20,22.4
"KÉTINE 200 MG, Comprimé à libération prolongée",Boite de 30,206
"DIARIT, Poudre en sachet",Boîte de 3,12.3
"LOPRIL 50 MG, Comprimé sécable",Boîte de 30,181.3
"AZIX 900 MG, Poudre pour solution orale","Flacon de 22,5ml",70
"RHINALLERGY 300 MG, Comprimé",Boîte de 60,43
"ORAGIN 0.75 MUI / 125 MG, Comprimé",Boîte de 30,77
"EXJADE 250 MG, Comprimé dispersible",Boite de 28,2851
"SERTRALINE GT 50 MG, Comprimé",Boite de 20,82.6
"SYNFLORIX, Suspension injectable en flacon","Boîte de 10 flacons de 0,5ml",
"TRISULFA 4G / 800 MG, Suspension",Flacon de 100 ml,20.4
"MAXILASE 200 U/CEIP/ML, Sirop,",Flacon 125 ml,44
"GLOMERID LP 1,5 MG, Comprimé",Boite de 60,52.3
"ROMILAST 4 MG, Comprimé pelliculé",Boite de 10,75.5
PROVIRON 25 mg Comprimé,Boîte de 20,47
"BIOGAZE HN GM, Compresse",Boîte de 10,52.55
"SAPHIR 100 MG / 12.5 MG, SIROP",Flacon de 60 ML,63
"CORDARONE 200 MG, Comprimé",Boîte de 40,89.7
"CUSIMOLOL 0,50 %, Collyre",Flacon de 5 ml,40.3
"GLUCOSE 5% GÉNÉRATION SANTÉ, Soluté injectable","Poche souple Twist Off en PVC plastifié, 250 ml",
"CETIRAL 1 MG / ML, Solution buvable",Flacon de 60 ml,30
"EOSINE AQUEUSE DEMEL 2%, Solution pour application locale",Flacon de 100ml,14
"BUTAMYL, Aerosol 200 doses",Flacon 200 Doses,45.3
"GENHEVAC B, suspension injectable",Boîte d'une seringue d'une dose,148.4
"ALDACTONE 50 MG, Comprimé",Boîte de 20,57.7
"BUCOPEN 1000000 UI, Comprimé pelliculé",Boîte de 12,29
"ULCESTOP 200 mg , Comprimé",Boîte de 50,77.2
"TERIX 250 MG, Comprimé",Boîte de 28,296
"IRPHI PLUS 300 MG / 12.5MG , Comprimé pelliculé",Boite de 10,60.7
"OXALIPLATINE WIN 5 MG / ML , Poudre pour solution à perfuser",Boîte de 1 Flacon de 36 ml,1049
"ASPIRINE VITAMINÉE, Comprimé tamponné effervescent",Boite de 20,20.5
"NO-DOL FEN 200 MG, Comprimé",Boite de 30 comprimés pelliculés dosés à 200 mg,23.5
"SECTRAL 200 MG, Comprimé pelliculé",Boîte de 20,37.8
"LENADIAL ACIDE GLUCOSE, Concentré liquide d'hémodialyse",Bidon 5 L,
"OROTREX 10 MG, Capsule molle",Boîte de 30,152.2
"MYFORTIC 360 MG, COMPRIMÉ",COMPRIME PELLICULE GASTRO-RESISTANT,2265
"POSICYCLINE 0.01 , Collyre",Flacon de 5ml,29.9
"DISPAINOL 80 MG, Comprimé dispersible et orodispersible",Boite de 10,19.5
"VENTOLINE 2 MG, Comprimé",Boîte de 40,18.7
"CRAN 34 MUI , Injectable",Boite unitaire,846
"DICLO PHARMA5 RETARD 100 MG, Comprimé",Boîte de 20,61.8
"MANEF 300 MG, Comprimé effervescent",Boite de 15,55
"HYPRIL 20 MG / 12,5 MG, Comprimé",Boîte de 60,125.8
"GLYCEMAT 80 mg, Comprimé",Boîte de 60,75
"ONDANSETRON MYLAN 8 MG / 2ML, Solution injectable",5 ampoules de 4 ml,439
"ROTATEQ, Solution orale",Boîte de 1 tube unidose de 2 ml,250
"VITADROP, Solution ophtalmique",10 ml,68
"BISOCARD 5 MG, Comprimé pelliculé",Boite de 10,15.3
"LANZEN 15MG LP, gélule",Boite de 28 gélules dosées à 15 mg,39.6
"ARATEN 50 MG, Comprimé pelliculé",Boite de 30,84.7
"FLUMAX 2000 UI ANTI-Xa/0,2ml Solution injectable en seringue pré-remplie",Boite de 2 seringues de 1 ml,65.3
"PRISDAL 3 MG, Comprimé pelliculé",Boite de 30,251
"PERDEX LP 1,5 MG, Comprimé",Boite de 30 comprimés pelliculés,30.8
"LYRICA 300 MG, Gélule",Boîte de 56,900
"NORMACIDE 300 mg , Comprimé",Boîte de 20,122.4
"ETOPOSIDE EBEWE 20 MG / ML, Solution à diluer pour perfusion",Flacon de 5 ml,118
"FLOXYFRAL 100 mg , Comprimé pelliculé",Boîte de 15,95.3
"CUSIVIRAL, Pommade ophtalmique","Tube de 4,5 g",85.3
CHLORURE POTASSIUM 10% PROMOPHARM 10 ml,Boîte de 100 ampoules,
"ARTHRODONT, Pâte gingivale",Tube de 80 g,20.2
"LECTIL 16 mg , Comprimé",Boîte de 30,40
"RANSIMVA 40 MG, Comprimé pelliculé",Boite de 60,283
"CYCLOLUX 0.5 MMOL / ML, Solution injectable",Flacon de 15 ML,418
"FENOSUP LIDOSE 160 MG, Gélule",Boite de 30,115.7
"SIFROL 0.26 MG, Comprimé à libération prolongée",Boite de 10,49.6
"RADIOSELECTAN 76%, Solution injectable",Flacon de 100 ml,214
"RANTUDIL RETARD 90mg GÉLULE,",Boîte de 20,58.9
"ODRIK 2 mg , Gélule",Boîte de 28,83.1
"CALCIPARINE 5000UI/0,2ml , Solution injectable",Boîte de 2 seringues pré-remplies,35.3
"NOVOSEVEN RT 1 MG, Poudre et solvant pour solution injectable","Flacon Poudre de 1,2 mg et kit d'injection",6846
"TAMOXIFENE MYLAN 20 MG, Comprimé",Boîte de 30,124.3
"ICOMB, Collyre",Flacon de 5 ml,30.3
"BUDENA 100 µG, Aérosol nasal",Flacon de 200 doses,149
"TARCEVA 100 mg, Comprimé pelliculé",Boîte de 30,14878
"BRINTELLIX 5 MG, Comprimé pelliculé",Boite de 28,218
"NEURID 200 MG, Comprimé",Boîte de 12,59.15
"JOSACINE 1G, Comprimé dispersible",Boîte de 10,185
"REMERON 30 mg, Comprimé enrobé",Boîte de 14,170.1
MICROPHYLLINE 100 mg Gélule,Boîte de 30,23.3
"BEROCCA ZINC, Comprimé effervescent",Boîte de 10,42.1
"STANORM 10 MG, Comprimé pelliculé",Boite de 30,57.8
VERASKIN 4%,Tube de 80 g,39.8
TRACRIUM 50mg/5ml Solution injectable,Boîte de 10 ampoules,1048
"CIVASTINE 20 MG, Comprimé pelliculé",Boite de 90,262
"CLENIL FORTE 250 µG, Suspension pour inhalation",Flacon de 200 doses pour inhalation buccale,86.5
"GEMCITABINE THYMOORGAN 200 MG, Poudre pour solution pour perfusion,",Flacon de 10 ml,257
"PANAX , Comprimé effervescent",Boite de 20,87.9
"ANDOL 500 MG, Comprimé effervescent",Boîte de 16,14
"ZADITEN 1 mg, Gélule",Boîte de 60,119
"TOPOTECAN HOSPIRA 4 MG / 4ML, Solution pour perfusion",Boite de 5 flacon de 5 ml,3905
"LAEVOLAC 0,5, Solution buvable",Flacon de 200 ml,45
"COLIMYCINE 1.500.000 UI, Comprimé",Boîte de 10,63.6
"TOFRANIL 25 mg, Comprimé",Boîte de 100 comprimés enrobés,57.1
"EOSINE PHARMA , Solution",Flacon de 1 Litre,70.15
"SULIAT 80 MG / 5 MG, Comprimé pelliculé",Boite de 28,151.6
"TRIAXON 500 MG / 2 ML IM, Solution Injectable",Boîte de 1+1,57
"DRILL EXPECTORANT ADULTE 5%, Sirop",Flacon de 150ml,27.3
"CICLOVIRAL 800 MG, Comprimé",Boîte de 12,265
"DOLIPRANE 500 MG, Sachet",Boîte de 12,14.4
"CATALGINE 0,25 g, Sachet",Boîte de 20,17.5
"ZELDOX 60 MG, Gélule",Boîte de 14,378
"LITAK 10 MG / 5ML, Solution injectable pour injection ou perfusion",Boite d'un flacon de 20 ML,3800
NEOTALEM 20mg/10ml soluté injectable,Boîte 1 flacon,
"COARSUCAM 100 mg/270mg , Comprimé bicouche",Boîte de 150,
"ARCHIFAR 1000 MG, Poudre pour solution injectable ou pour perfusion",Boite de 1 flacon,113.6
"METHYLPREDNISOLONE MYLAN 40 MG, Poudre Soluttion injectable (IM-IV)",Boîte de 20 flacons,421
"ZOFORA 20 MG, Injectable",Boîte de 2 ampoules,24.5
"EXTENCILLINE 1,2 MUI , Solution injectable",Boîte d'un Flacon + une ampoule solvant,12.3
BRONCHOFLUIDE 5 % Sans sucre solution buvable Adulte,Flacon de 300 ml,
"ADIZEM LP 90 MG, Gélule",Boîte de 30,104.4
"NORCURON 10 mg, Lyophilisat pour usage parentéral",Boîte de 10,921.2
"ONDANSETRON AGUETTANT 2MG / ML , Solution Injectable",Boîte de 10 ampoules de2 ML / 4 MG,326
"OFLOXACINE MYLAN 200 MG / 40 ML, Solution pour perfusion",Boîte de 20 poches,2851
"MELICAM 7,5 mg, Comprimé","Boite de 20 comprimés dosés à 7,5 mg",51
"BIOTIC PLUS 500 MG / 62.5 MG, Sachet",Boite de 16,90.3
"OMNIVIT COMPLET VITAMINES, Comprimé",Boite de 24 comprimés effervesents,79
"ALLERGINE 10 MG, Comprimé sécable",Boîte de 10,28
"RINGER LACTATE LAPROPHAN Solution Injectable ,",Boîte de 1 Flacon de 1000 ml,44.1
"MONO-TILDIEM LP 300 mg , Gélule à libération prolongée",Boîte de 28,218
"IRPHI PLUS 300 MG / 25 MG , Comprimé pelliculé",Boite de 30,160.9
"CALCIMAT, Comprimé effervescent",Boite de 30,89
"OVUSITOL, Sachet",Boite de 30 sachets,165
"HOSTACYCLINE 500 MG, Comprimé",Boîte de 20,57.5
RAPTIVA 125 mg,Boîte 4 flacons de Poudre et 4 seringues de solvant,
"ERGIC 0,5 MG / ML, Solution buvable",Flacon de 60 ML,25
"TENSEMIDE 5 MG, Comprimé",Boite de 30,39.3
"AZ 250 MG, Gélule",Boîte de 6,137.7
"ENCIFER 100 MG/5ML, SOLUTION INJECTABLE POUR PERFUSION",1 ampoule de 5 ml,61.2
"ACARBOSE LAPROPHAN 100 MG, Comprimé",Boite de 90,166.1
"ESCIPLEX 20 MG, Comprimé pelliculé secable",Boite de 28,180.1
"STARMOX 500 MG, Comprimé dispersible",Boîte de 16,46.1
"CISPLATINE MYLAN 25 MG /25 ML, Solution à diluer pour perfusion",Flacon de 25 ml,80.1
"BETADINE Scrub 4 %, Solution Moussante",Flacon de 125 ml,16.6
"FUCIDINE 250 MG, Comprimé pelliculé",Boîte de 10,134.5
"BUTAMYL 2 MG, Comprimé",Boîte de 40,19.4
"MONEVA 0,075 MG / 0,03 MG, Comprimé enrobé,",Boîte de 21,62.9
"SERTAM 50 MG, Comprimé pelliculé",Boite de 30,110.6
"AMILO 5 MG, Comprimé",Boîte de 14,25.6
"STARMOX 250 MG/5 ML, Poudre pour suspension buvable",Flacon de 60 ml,23
"RANOZYP 5 MG, Comprimé orodispersible",Boite de 14,91.1
"PRAVASTATINE GT 10 MG, Comprimé",Pillulier de 20,85
GONAL-F 75 UI,Boîte de 1 ampoule,284
"ASPEGIC 500 MG, Poudre en Sachet",Boîte de 20,27.2
"CIPROFLOXACINE WIN 250 MG , Comprimé pelliculé",Boite de 20,59.2
OMNIPAQUE 300mG/INJECTABLE,Flacon de 50 ml,187
"RECOFOL 10mg/ml Solution injectable ,",Flacon de 100 ml,
TRICOVIVAX 5 g Solution topique,Flacon de 60 ml,281
"QUETIAPHI LP 150 MG, Comprimé",Boite de 30,145
"PROZAC 20 MG, Gélule",Boîte de 7,53.2
"VIRPES 800 MG, COMPRIMÉ",Boite de 25,412
"DIPREZAR FORT 100 MG / 25 MG, Comprimé pelliculé",Boite de 90,479
"CARBOPLATINE MYLAN 50 MG /5 ML, Solution pour perfusion","Flacon de 50 mg/5 ml,",272
"CARBOSYLANE 140 MG / 45 MG , Gélule",Boîte de 48,44.8
"ZYVOXID 600 MG / ML, Comprimé pelliculé",Boite de 10,5067
"OEDES 10 MG, Gélule",Boite de 28,38.4
"MABTHERA 100 MG / 10 ML, Concentré pour perfusion",Etui de 2 flacons de 10 ml,5188
"EPREX 10000 UI / ML, Solution injectable","Boîte de 6 Seringues préremplies de 0,3 ml",1675
"DUPHALAC 10 G / 15 ML, Solution buvable",Boîte de 20 Sachets-dose,71.4
"PHENERGAN 0,1 %, Sirop",Flacon de 125 ml,13.2
"PENAMOX 125 MG, Poudre pour sirop",Flacon de 60 ml,15.3
"S-PERAM 5 MG, Comprimé pelliculé",Boite de 20,52.8
"DÉBRIDAT, Poudre pour suspension buvable",Flacon de 250 ml,31
"ZYLAX 400 MG, Comprimé pelliculé",Boite de 7,196.6
"ICANAL 20 MG, Comprimé",Boîte de 30,65.4
"DEPAKINE 500 MG, Comprimé gastro-résistant",Boîte de 40,94.1
"AGLIM 3 MG, Comprimé",Boite de 60 comprimés,90
"PHANERE BOOST, Comprimé",Boite de 60,250
"CEPLATIN 50 MG, Solution Injectable pour perfusion IV",Flacon de 100 ml,154.2
"XATRAL 10mg , Comprimé pelliculé à liberation prolongée",Boîte de 30,267
"APETINE 4 MG, Comprimé",Boîte de 90,43.5
"GENTAMYCINE LLORENTE 40 MG, Solution injectable",Boîte unitaire (2 ml),11.4
"GAVISCON 250 MG, Comprimé",Boite de 20,43
"NORCURON 4 mg/ml, Lyophilisat pour usage parentéral",Boîte de 50+50,
"VIGOREX 100 MG, Comprimé",Boite de 1,50
"GAVISCON, Suspension buvable",Flacon de 250ml,35.2
"SAPHIR 100 MG /12.5 MG, SIROP",Flacon de 30 ML,38
"LANPROL 30mg, Gélule",Boite de 14,42
"MALTOFER FOL 100 MG, Comprimé",Boite de 30,47.3
"NORMATENS 50 MG, Comprimé",Boîte de 30,26
"TYARA 20 MG, Comprimé",Boite de 4,276
